,ra,dec,pa,OBSID,MJDOBS,XPOSURE,SGT_LAT_MIDPT,SGT_LON_MIDPT,SGT_MIN_GCD2SAA,SPS_ELON,SPS_ELAT,SPS_EPA
694,341.2981947042871,-51.3155918,-26.36077166,2025W18_1B_0404_1,60796.17425,113.5826,-34.959582,32.298141,13.703114,316.0,-38.287076,0.0
695,328.4986799482858,-54.5111373,-166.1503364,2025W18_1B_0404_1,60796.17425,113.5826,-34.959582,32.298141,13.703114,316.0,-38.287076,0.0
696,328.0088115415226,-54.98868296,41.64159029999999,2025W18_1B_0404_1,60796.17425,113.5826,-34.959582,32.298141,13.703114,316.0,-38.287076,0.0
697,328.3284859,-54.88525406,18.083427,2025W18_1B_0404_1,60796.17425,113.5826,-34.959582,32.298141,13.703114,316.0,-38.287076,0.0
698,8.165358171655065,18.03593899,168.46495399035263,2025W27_1A_0251_1,60857.25921,113.5826,28.698292,351.335619,36.279466,10.093458,14.183603,0.0
699,4.569677175562726,18.17173320495929,320.63743772206044,2025W27_1A_0251_1,60857.25921,113.5826,28.698292,351.335619,36.279466,10.093458,14.183603,0.0
700,359.8842205660835,16.132231740426487,163.1200590858428,2025W27_1A_0251_1,60857.25921,113.5826,28.698292,351.335619,36.279466,10.093458,14.183603,0.0
701,329.11894390659967,-40.84158213,163.91162273999998,2025W18_1B_0394_2,60796.10783,113.5826,-27.113806,54.708753,34.800575,313.663366,-25.645339,0.0
702,324.17518614626573,-42.57565719,-33.76182971,2025W18_1B_0394_2,60796.10783,113.5826,-27.113806,54.708753,34.800575,313.663366,-25.645339,0.0
703,270.6447925919156,71.35748757727106,68.2726447,2025W27_1A_0213_3,60857.07061,113.5826,69.253993,265.309055,78.36975,164.171875,89.35904,180.156483
704,274.4809993737153,69.42613290337705,102.43802388,2025W27_1A_0213_3,60857.07061,113.5826,69.253993,265.309055,78.36975,164.171875,89.35904,180.156483
705,275.2143172276189,70.95886680029292,153.62046079434765,2025W27_1A_0213_3,60857.07061,113.5826,69.253993,265.309055,78.36975,164.171875,89.35904,180.156483
706,268.87236058153775,66.99312156959402,-142.3986596,2025W27_1A_0213_3,60857.07061,113.5826,69.253993,265.309055,78.36975,164.171875,89.35904,180.156483
707,83.59730624723582,-63.649779,-96.51293756,2025W22_2B_0447_4,60827.07701,113.5826,-75.415168,94.000184,44.147582,38.292158,-85.853444,52.141404
708,75.77588383343233,-58.71768982,265.90443192,2025W27_1A_0232_2,60857.17161,113.5826,-73.780927,56.050855,34.522089,37.413486,-80.709122,34.296204
